折れ線 線 幅 設定 する	plt.plot(xdata, ydata, linewidth=n)
実数 サイン 求める	math.sin(x)
データ 列 位 丸める	ds.round(-2)
カデット ブルー ヒストグラム 色 セット する	plt.hist(データ列, color='cadetblue')
負 数	n < 0
列 配列 する	df[column].values
配列 リスト 散布 図 カラー コード 星 マーカー 描画 する	plt.plot(xdata, ydata, marker='*', c=rgb)
文字 列 左寄せ する	s.ljust(文字列幅)
文字 列 開始 位置 終了 位置 範囲 部分 文字 列 カウント する	s.count(sub, start, end)
オプション グラフ 線 種 実線 設定 する	linestyle = 'solid'
二つ 列 用い 破壊 的 データ フレーム 昇順 ソート する	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
データ フレーム カラム 何 年 調べる	df[col].dt.year
カンマ 文字 列 分割 し 列挙 する	s.split(',')
ケン ドール 相関 係数 データ フレーム リスト 列 相関 行列	df[aList].corr(method='kendall')
イテラブル 配列 散布 図 黒い 星 マーカー 描画 する	plt.plot(xdata, ydata, marker='*', c='k')
データ フレーム 各 列 列 組み合わせ 毎 分類 し 最大 値 求める	df.groupby([column, column2], as_index=False).max()
折れ線 グラフ 三角 印 線 幅 セット する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
実数 複素数 変換 する	complex(x)
二つ 変数 それぞれ 定義 する	x, y = i, j
折れ線 グラフ 星 印 サイズ 設定 する	plt.plot(データ列, データ列2, marker='*', markersize=n)
散布 図 赤い マーカー 使う	plt.plot(xdata, ydata, marker='^', c='r')
データ フレーム インデックス 昇順 整列 する	df.sort_index(ascending=True)
データ フレーム 欠損 値 置換 する	df.fillna(x)
ヒストグラム 描画 し その 色 ライト シアン する	plt.hist(データ列, color='lightcyan')
折れ線 グラフ 描画 し その 色 アクア 設定 する	plt.plot(データ列, データ列2, color='aqua')
オプション ライト コーラル 色 セット する	color = 'lightcoral'
重 見やすく リスト データ 列 散布 図 濃い 色 描画 する	plt.plot(xdata, ydata, c='deep', alpha=0.5)
折れ線 グラフ 描画 し その 色 カーキ 変更 する	plt.plot(データ列, データ列2, color='khaki')
文字 化け し ない よう 読み込む	pd.read_csv(filename, encoding='shift_jis')
配列 リスト 青い 淡い グラフ 描く	plt.plot(xdata, ydata, linestyle='muted', color='b')
オプション セパレータ カンマ する	sep = ','
浮動 小数点 数 型 する	float(x)
文字 列 青色 出力 する	print(f'\033[34m{value}\033[0m')
ヒストグラム 色 ゴースト ホワイト セット する	plt.hist(データ列, color='ghostwhite')
黒い 菱形 マーカー 散布 図 描画 する	plt.plot(xdata, ydata, marker='D', c='k')
データ フレーム 表示 する とき データ フレーム 行 表示 できる よう する	pd.set_option('display.max_rows', n)
ファイル ファイル 名	filename.endswith('.csv')
プロット 色 色 差別 なく する	sns.set(pallete='colorblind')
グラフ 目的 論文 設定 する	sns.set(context='paper')
カラム 欠損 値 設定 する	ds.fillna(x)
数列 リスト 折れ線 グラフ 描画 し その 色 カラー コード セット する	plt.plot(xdata, ydata, color=rgb)
イテラブル イミュータブル な 集合 する	frozenset(iterable)
データ フレーム 列 集計 し それぞれ グループ 毎 分散 計算 する	df.groupby(column).var()
散布 図 カラー コード マーカー 用いる	plt.plot(xdata, ydata, marker='^', c=rgb)
データ フレーム 列 各 データ 何 回 出現 する 見る	df[col].value_counts()
折れ線 グラフ 丸 マーカー 青く する	plt.plot(データ列, データ列2, marker='o', markerfacecolor='b')
データ 列 どの 程度 分散 し いる 確認 する	ds.var()
ファイル パス 文字 列 示す エン コーディング 書き込み 用 オープン する	open(filepath, mode='w', encoding=s)
ヒストグラム 色 ライト イエロー 設定 する	plt.hist(データ列, color='lightyellow')
